,Wert,Date,Time
0,-6.6,2015-02-07,04:00:00
1,-12.0,2016-01-22,02:00:00
2,-10.5,2017-01-06,05:00:00
3,-10.5,2017-01-06,08:00:00
4,-11.8,2018-03-02,06:00:00
5,-9.0,2019-01-21,06:00:00
6,-4.6,2020-01-01,08:00:00
